Date,Price,Open,High,Low,Volume,Chg%
12-12-2021,1797.68,1782.94,1814.63,1753.84,0,0.0085
19-12-2021,1808.11,1799.4,1812.7,1784.58,0,0.0058
26-12-2021,1828.39,1808.19,1830.58,1788.94,0,0.0112
02-01-2022,1795.63,1830.14,1832.06,1782.63,0,-0.0179
09-01-2022,1817.22,1795.41,1829.66,1790.43,0,0.012
16-01-2022,1833.24,1817.9,1848.36,1805.53,0,0.0088
23-01-2022,1791.03,1834.49,1853.98,1779.88,0,-0.023
30-01-2022,1807.49,1791.19,1815.44,1785.03,0,0.0092
06-02-2022,1859.96,1806.99,1865.63,1806.94,0,0.029
13-02-2022,1897.87,1861.55,1902.84,1844.27,0,0.0204
20-02-2022,1887.56,1900.4,1974.48,1879.05,0,-0.0054
27-02-2022,1968.45,1920.86,1970.8,1890.59,0,0.0429
06-03-2022,1985.29,1977.09,2070.29,1958.8,0,0.0086
13-03-2022,1921.09,1985.49,1990.33,1895.22,0,-0.0323
20-03-2022,1957.4,1922.24,1966.19,1910.89,0,0.0189
27-03-2022,1924.3,1958.75,1959.36,1890.03,0,-0.0169
03-04-2022,1945.85,1924.94,1948.46,1915.24,0,0.0112
